Loan ID,Amount Requested,Amount Funded By Investors,Interest Rate,Loan Length,CREDIT Grade,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio,City,State,Home Ownership,Monthly Income,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Employment Length,"Status (Fully Paid=1, Not Paid=0)"
2227104,12000,12000.0,0.1311,36,11,10459,10,404.97,12000,0.1524,956,19,1,4166.67,692.0,726746,10.0,24.0,20229.0,0.868,0.0,0.0,0.0,0.0,10,0
1690660,2000,2000.0,0.1727,36,13,13067,1,71.58,2000,0.1207,5379,39,2,2083.33,662.0,733366,18.0,28.0,6175.0,0.368,3.0,0.0,0.0,0.0,7,1
2301695,9000,9000.0,0.079,36,32,9445,6,281.62,9000,0.20010000000000008,6315,6,1,7750.0,692.0,729687,9.0,39.0,11639.0,0.466,0.0,0.0,0.0,2.0,8,0
844352,13000,13000.0,0.1199,36,28,11087,6,431.73,13000,0.0759,7852,26,0,5833.33,707.0,730100,12.0,26.0,6696.0,0.475,1.0,0.0,0.0,0.0,2,1
330773,10000,1525.01,0.1071,36,28,2600,3,163.01,5000,0.1248,2837,24,1,16666.67,702.0,726253,20.0,30.0,53087.0,0.6990000000000001,1.0,0.0,0.0,0.0,8,0
2368576,6250,6250.0,0.1777,60,22,12370,6,157.93,6250,0.2429,3638,29,0,1811.33,692.0,732399,15.0,24.0,5211.0,0.573,0.0,0.0,0.0,0.0,7,0
2375157,26500,26475.0,0.1531,36,19,2603,6,922.66,26500,0.2476,5034,12,1,5500.0,677.0,730494,13.0,32.0,28313.0,0.703,3.0,0.0,0.0,1.0,6,0
978766,10000,9950.0,0.1427,36,19,9544,13,343.09,10000,0.0249,2062,39,1,6750.0,697.0,730947,7.0,15.0,5082.0,0.9129999999999999,1.0,0.0,0.0,0.0,11,1
478835,3000,3000.0,0.1099,36,11,2603,6,98.21,3000,0.0982,1249,30,0,3583.33,687.0,727146,14.0,29.0,14338.0,0.342,1.0,0.0,0.0,0.0,6,1
2308443,23325,23300.0,0.1727,36,13,8767,10,834.74,23325,0.1359,5172,19,0,4333.33,662.0,730218,10.0,17.0,20224.0,0.868,2.0,0.0,0.0,0.0,7,0
2376775,17450,17450.0,0.1114,36,34,10459,10,572.45,17450,0.1962,8389,18,1,5416.67,677.0,728081,9.0,19.0,36625.0,0.6809999999999999,0.0,0.0,0.0,0.0,5,0
2227426,3200,3200.0,0.1311,36,11,12029,6,108.0,3200,0.16899999999999998,1988,36,0,2916.67,672.0,731766,16.0,40.0,3841.0,0.315,0.0,0.0,0.0,0.0,2,0
331873,8800,1550.0,0.1292,36,15,7022,6,100.97,3000,0.1952,547,7,0,3166.67,672.0,728486,17.0,37.0,8443.0,0.332,4.0,0.0,0.0,1.0,9,0
2379579,33000,33000.0,0.158,60,14,13064,6,799.0,33000,0.0693,8987,19,0,7750.0,707.0,726409,8.0,26.0,24189.0,0.674,1.0,0.0,0.0,1.0,7,0
715930,5000,4950.0,0.0729,36,32,2269,6,155.05,5000,0.1298,6035,31,0,3166.67,722.0,731587,9.0,16.0,5147.0,0.44799999999999995,0.0,0.0,0.0,0.0,8,1
2369177,10000,10000.0,0.1777,36,22,8157,6,360.38,10000,0.2235,7305,37,1,8000.0,667.0,728326,14.0,33.0,10379.0,0.8170000000000001,2.0,0.0,0.0,1.0,6,0
605454,3500,3500.0,0.1223,36,0,11183,5,116.64,3500,0.102,9100,12,0,4391.0,702.0,728822,3.0,7.0,2193.0,0.627,0.0,0.0,0.0,0.0,5,1
2296178,16800,16800.0,0.158,36,14,7613,6,0.0,16800,0.2346,964,14,1,3900.0,672.0,729382,9.0,16.0,9638.0,0.838,1.0,0.0,0.0,1.0,6,0
395560,18000,10165.11,0.1284,36,19,3151,6,605.13,18000,0.1274,6765,25,1,2512.0,727.0,729914,5.0,8.0,22099.0,0.847,0.0,0.0,0.0,0.0,11,1
439148,13000,12825.0,0.1183,36,33,12974,10,430.75,13000,0.0417,8010,19,1,9583.33,717.0,731067,7.0,21.0,1731.0,0.09,3.0,0.0,0.0,2.0,11,1
2311358,4000,4000.0,0.158,36,14,9773,12,140.24,4000,0.0209,7161,19,0,6137.92,682.0,730546,7.0,17.0,5401.0,0.321,2.0,0.0,0.0,1.0,11,0
505245,5000,4062.37,0.0751,36,32,13377,11,155.55,5000,0.1752,7341,39,1,3333.33,777.0,727561,15.0,44.0,5450.0,0.11800000000000001,5.0,0.0,0.0,0.0,5,1
453541,15000,14900.0,0.13570000000000002,36,14,2281,10,509.53,15000,0.008100000000000001,1204,19,0,6750.0,752.0,729419,14.0,25.0,981.0,0.011000000000000001,7.0,0.0,0.0,1.0,8,0
1489445,10000,10000.0,0.1212,36,33,4499,6,332.72,10000,0.1401,6964,35,0,2500.0,707.0,730825,6.0,13.0,3705.0,0.281,1.0,0.0,0.0,0.0,2,1
2286793,14000,14000.0,0.1409,36,28,7613,6,479.1,14000,0.23440000000000005,4095,20,0,5416.67,687.0,731943,13.0,21.0,29384.0,0.509,0.0,0.0,0.0,1.0,10,0
353370,5000,0.0,0.1191,36,14,4627,10,165.86,5000,0.2363,2613,49,0,3500.0,742.0,728684,19.0,38.0,9347.0,0.135,8.0,0.0,0.0,0.0,1,1
723949,11200,11200.0,0.1037,36,33,11008,10,363.35,11200,0.1949,3254,40,0,3500.0,702.0,729751,8.0,18.0,11758.0,0.6920000000000001,0.0,0.0,0.0,0.0,6,1
2382490,21000,21000.0,0.1212,36,33,8337,6,0.0,21000,0.1087,7216,37,0,10833.33,702.0,722827,14.0,19.0,38331.0,0.628,1.0,0.0,0.0,0.0,7,0
2370777,5500,5500.0,0.08900000000000001,36,21,3599,6,174.65,5500,0.1975,5205,40,0,3750.0,762.0,730216,17.0,37.0,2879.0,0.096,2.0,0.0,0.0,0.0,6,0
1866778,11500,11500.0,0.1727,36,13,624,3,411.56,11500,0.1711,7009,19,1,6250.0,667.0,731914,19.0,33.0,18723.0,0.5579999999999999,2.0,0.0,0.0,0.0,8,0
2444622,10000,9925.0,0.1433,36,0,10459,10,0.0,10000,0.30210000000000004,3615,11,1,7500.0,672.0,723913,14.0,43.0,15271.0,0.812,1.0,0.0,0.0,1.0,9,0
